m,lam,Jsize,mu,vpi,d,vL0,cls
12,10|2|1|1|1|1|1|1|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,9|9|6,2,8,10,2,2,within-J*
12,9|9|4|1|1,2,6,8,2,1,needs-next
12,9|9|3|3,2,12,14,2,2,within-J*
12,9|9|3|1|1|1,4,12,19,7,5,needs-next
12,9|9|2|2|1|1,2,10,12,2,4,needs-next
12,9|9|2|1|1|1|1,2,10,12,2,4,needs-next
12,9|8|5|2,2,15,16,1,1,within-J*
12,9|8|4|1|1|1,2,6,8,2,1,needs-next
12,9|8|2|2|1|1|1,2,15,16,1,1,within-J*
12,9|7|7|1,2,6,8,2,1,needs-next
12,9|7|6|1|1,2,6,8,2,1,needs-next
12,9|7|5|1|1|1,2,6,8,2,1,needs-next
12,9|7|4|4,2,8,10,2,1,needs-next
12,9|7|4|3|1,2,6,8,2,1,needs-next
12,9|7|4|2|2,4,12,24,12,5,needs-next
12,9|7|4|2|1|1,2,6,8,2,1,needs-next
12,9|7|4|1|1|1|1,2,6,8,2,1,needs-next
12,9|7|3|3|2,2,10,12,2,1,needs-next
12,9|7|3|3|1|1,4,12,19,7,4,needs-next
12,9|7|3|2|2|1,2,10,12,2,1,needs-next
12,9|7|3|1|1|1|1|1,2,4,6,2,1,needs-next
12,9|7|2|2|2|2,2,8,10,2,1,needs-next
12,9|7|2|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,9|7|1|1|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,9|6|6|3,2,8,10,2,2,within-J*
12,9|6|6|1|1|1,4,12,21,9,2,needs-next
12,9|6|4|4|1,4,21,25,4,3,needs-next
12,9|6|4|3|2,2,6,8,2,1,needs-next
12,9|6|4|3|1|1,4,12,23,11,8,needs-next
12,9|6|4|2|2|1,2,6,8,2,1,needs-next
12,9|6|4|1|1|1|1|1,2,4,6,2,1,needs-next
12,9|6|3|3|2|1,4,12,19,7,4,needs-next
12,9|6|3|3|1|1|1,2,23,29,6,10,needs-next
12,9|6|3|2|2|2,4,21,25,4,2,needs-next
12,9|6|3|1|1|1|1|1|1,4,21,25,4,2,needs-next
12,9|6|2|1|1|1|1|1|1|1,4,12,19,7,2,needs-next
12,9|5|5|3|1|1,2,8,10,2,2,within-J*
12,9|5|5|2|1|1|1,2,15,16,1,1,within-J*
12,9|5|4|4|2,2,8,10,2,1,needs-next
12,9|5|4|4|1|1,4,14,21,7,2,needs-next
12,9|5|4|3|1|1|1,2,8,10,2,2,within-J*
12,9|5|4|2|2|2,2,6,8,2,1,needs-next
12,9|5|4|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,9|5|3|3|3|1,2,12,14,2,2,within-J*
12,9|5|3|3|2|2,4,12,19,7,7,within-J*
12,9|5|3|3|2|1|1,2,12,14,2,2,within-J*
12,9|5|3|3|1|1|1|1,2,6,8,2,2,within-J*
12,9|5|3|1|1|1|1|1|1|1,4,14,26,12,3,needs-next
12,9|5|2|2|2|2|2,2,10,12,2,8,needs-next
12,9|5|2|2|1|1|1|1|1|1,2,8,10,2,2,within-J*
12,9|5|2|1|1|1|1|1|1|1|1,2,8,10,2,2,within-J*
12,9|4|4|4|2|1,2,8,10,2,1,needs-next
12,9|4|4|3|2|2,2,6,8,2,1,needs-next
12,9|4|4|2|2|1|1|1,2,6,8,2,4,needs-next
12,9|4|4|1|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,9|4|3|3|3|1|1,2,17,18,1,1,within-J*
12,9|4|2|2|1|1|1|1|1|1|1,2,15,16,1,1,within-J*
12,9|3|3|3|3|3,2,10,12,2,1,needs-next
12,9|3|3|3|2|2|2,4,12,19,7,4,needs-next
12,9|3|3|3|2|2|1|1,2,4,6,2,1,needs-next
12,9|3|3|3|2|1|1|1|1,2,8,10,2,1,needs-next
12,9|3|3|3|1|1|1|1|1|1,4,14,23,9,2,needs-next
12,9|3|3|2|2|2|2|1,2,4,6,2,1,needs-next
12,9|3|3|2|2|2|1|1|1,4,21,25,4,3,needs-next
12,9|3|3|2|2|1|1|1|1|1,2,8,10,2,1,needs-next
12,9|3|3|1|1|1|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,9|3|2|2|2|2|2|1|1,2,6,8,2,1,needs-next
12,9|3|2|2|2|2|1|1|1|1,2,6,8,2,1,needs-next
12,9|3|2|1|1|1|1|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,9|3|1|1|1|1|1|1|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,9|2|2|2|2|2|2|1|1|1,4,12,19,7,5,needs-next
12,9|2|2|1|1|1|1|1|1|1|1|1|1|1,4,12,19,7,8,needs-next
12,8|8|6|2,4,12,16,4,2,needs-next
12,8|8|5|3,4,12,16,4,2,needs-next
12,8|8|5|2|1,2,15,16,1,1,within-J*
12,8|8|4|2|2,2,10,12,2,2,within-J*
12,8|8|3|3|1|1,2,10,12,2,8,needs-next
12,8|8|3|2|1|1|1,2,15,16,1,1,within-J*
12,8|8|2|2|2|1|1,4,14,18,4,3,needs-next
12,8|8|2|2|1|1|1|1,4,14,18,4,3,needs-next
12,8|7|7|1|1,2,8,10,2,1,needs-next
12,8|7|6|3,2,19,20,1,1,within-J*
12,8|7|5|2|2,2,10,12,2,2,within-J*
12,8|7|4|4|1,2,6,8,2,1,needs-next
12,8|7|3|3|1|1|1,2,10,12,2,6,needs-next
12,8|7|3|2|2|2,2,8,10,2,1,needs-next
12,8|7|3|1|1|1|1|1|1,2,4,6,2,1,needs-next
12,8|7|2|2|2|1|1|1,2,21,22,1,1,within-J*
12,8|6|6|4,2,8,10,2,2,within-J*
12,8|6|6|3|1,2,10,12,2,6,needs-next
12,8|6|6|2|1|1,2,10,12,2,14,needs-next
12,8|6|6|1|1|1|1,2,10,12,2,4,needs-next
12,8|6|5|3|1|1,2,10,12,2,8,needs-next
12,8|6|5|2|1|1|1,2,15,16,1,1,within-J*
12,8|6|4|4|2,2,6,8,2,1,needs-next
12,8|6|4|4|1|1,4,12,21,9,4,needs-next
12,8|6|4|3|1|1|1,2,10,12,2,16,needs-next
12,8|6|4|2|2|2,2,8,10,2,1,needs-next
12,8|6|4|1|1|1|1|1|1,2,4,6,2,1,needs-next
12,8|6|3|3|3|1,2,10,12,2,6,needs-next
12,8|6|3|3|2|2,4,14,23,9,2,needs-next
12,8|6|3|3|2|1|1,2,10,12,2,14,needs-next
12,8|6|3|3|1|1|1|1,2,10,12,2,6,needs-next
12,8|6|3|1|1|1|1|1|1|1,4,12,19,7,2,needs-next
12,8|6|2|2|2|2|2,2,12,14,2,2,within-J*
12,8|6|2|2|1|1|1|1|1|1,2,10,12,2,4,needs-next
12,8|6|2|1|1|1|1|1|1|1|1,2,10,12,2,4,needs-next
12,8|5|5|4|1|1,2,8,10,2,2,within-J*
12,8|5|5|3|3,4,12,16,4,2,needs-next
12,8|5|5|3|2|1,2,19,20,1,1,within-J*
12,8|5|5|3|1|1|1,4,18,25,7,3,needs-next
12,8|5|5|2|2|1|1,4,12,16,4,6,needs-next
12,8|5|5|2|1|1|1|1,4,12,16,4,7,needs-next
12,8|5|4|4|1|1|1,2,8,10,2,2,within-J*
12,8|5|4|3|3|1,2,21,22,1,1,within-J*
12,8|5|4|3|2|1|1,2,19,20,1,1,within-J*
12,8|5|4|3|1|1|1|1,2,21,22,1,1,within-J*
12,8|5|4|2|2|1|1|1,2,19,20,1,1,within-J*
12,8|5|3|3|3|2,2,10,12,2,4,needs-next
12,8|5|3|3|3|1|1,4,18,25,7,3,needs-next
12,8|5|3|3|2|2|1,2,10,12,2,4,needs-next
12,8|5|3|3|2|1|1|1,2,19,20,1,1,within-J*
12,8|5|3|3|1|1|1|1|1,2,6,8,2,2,within-J*
12,8|5|3|2|2|2|2,2,10,12,2,4,needs-next
12,8|5|3|2|1|1|1|1|1|1,2,8,10,2,2,within-J*
12,8|5|3|1|1|1|1|1|1|1|1,2,8,10,2,2,within-J*
12,8|5|2|2|2|2|2|1,2,21,22,1,1,within-J*
12,8|5|2|2|2|1|1|1|1|1,2,19,20,1,1,within-J*
12,8|5|2|2|1|1|1|1|1|1|1,4,18,25,7,3,needs-next
12,8|5|2|1|1|1|1|1|1|1|1|1,2,19,20,1,1,within-J*
12,8|4|4|4|2|2,2,6,8,2,1,needs-next
12,8|4|4|3|3|1|1,4,12,16,4,2,needs-next
12,8|4|4|3|2|1|1|1,2,21,22,1,1,within-J*
12,8|4|4|2|2|2|1|1,2,10,12,2,2,within-J*
12,8|4|4|2|2|1|1|1|1,2,6,8,2,4,needs-next
12,8|4|3|3|3|2|1,2,17,18,1,1,within-J*
12,8|4|3|3|3|1|1|1,4,12,16,4,2,needs-next
12,8|4|3|3|2|2|2,2,10,12,2,4,needs-next
12,8|4|3|3|1|1|1|1|1|1,2,12,14,2,2,within-J*
12,8|4|3|2|1|1|1|1|1|1|1,2,15,16,1,1,within-J*
12,8|4|2|2|2|2|2|2,4,14,18,4,2,needs-next
12,8|4|2|2|2|1|1|1|1|1|1,4,12,16,4,2,needs-next
12,8|4|2|2|1|1|1|1|1|1|1|1,4,12,16,4,2,needs-next
12,8|3|3|3|3|2|2,2,10,12,2,4,needs-next
12,8|3|3|3|2|2|1|1|1,2,4,6,2,1,needs-next
12,8|3|3|3|1|1|1|1|1|1|1,2,12,14,2,2,within-J*
12,8|3|3|2|2|2|2|1|1,2,4,6,2,1,needs-next
12,8|3|3|2|2|2|1|1|1|1,2,6,8,2,1,needs-next
12,8|3|3|1|1|1|1|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,8|3|2|2|2|1|1|1|1|1|1|1,2,21,22,1,1,within-J*
12,8|2|2|2|2|2|2|2|1|1,2,10,12,2,6,needs-next
12,8|2|2|2|2|2|2|1|1|1|1,2,10,12,2,6,needs-next
12,8|2|2|2|1|1|1|1|1|1|1|1|1|1,2,10,12,2,4,needs-next
12,8|2|2|1|1|1|1|1|1|1|1|1|1|1|1,2,10,12,2,4,needs-next
12,7|7|7|1|1|1,2,8,10,2,1,needs-next
12,7|7|6|2|2,2,10,12,2,2,within-J*
12,7|7|5|5,2,8,10,2,4,needs-next
12,7|7|5|3|2,2,10,12,2,2,within-J*
12,7|7|5|2|2|1,2,10,12,2,2,within-J*
12,7|7|5|2|1|1|1,2,15,16,1,1,within-J*
12,7|7|5|1|1|1|1|1,2,10,12,2,2,within-J*
12,7|7|4|4|2,4,12,24,12,4,needs-next
12,7|7|4|4|1|1,2,6,8,2,1,needs-next
12,7|7|4|3|3,2,10,12,2,2,within-J*
12,7|7|4|2|2|2,4,14,25,11,2,needs-next
12,7|7|4|2|2|1|1,2,10,12,2,2,within-J*
12,7|7|4|2|1|1|1|1,2,10,12,2,2,within-J*
12,7|7|4|1|1|1|1|1|1,4,12,19,7,2,needs-next
12,7|7|3|3|2|2,2,8,10,2,1,needs-next
12,7|7|3|2|2|1|1|1,2,10,12,2,2,within-J*
12,7|7|3|1|1|1|1|1|1|1,2,4,6,2,1,needs-next
12,7|7|2|2|2|2|1|1,2,12,14,2,4,needs-next
12,7|7|2|2|2|1|1|1|1,2,10,12,2,2,within-J*
12,7|7|1|1|1|1|1|1|1|1|1|1,2,10,12,2,2,within-J*
12,7|6|6|3|1|1,2,10,12,2,6,needs-next
12,7|6|6|2|1|1|1,2,17,18,1,1,within-J*
12,7|6|5|3|3,2,15,16,1,1,within-J*
12,7|6|5|3|1|1|1,2,15,16,1,1,within-J*
12,7|6|5|2|2|1|1,2,15,16,1,1,within-J*
12,7|6|5|2|1|1|1|1,2,17,18,1,1,within-J*
12,7|6|4|4|2|1,2,6,8,2,1,needs-next
12,7|6|4|3|2|2,2,8,10,2,1,needs-next
12,7|6|4|2|2|1|1|1,2,10,12,2,2,within-J*
12,7|6|4|1|1|1|1|1|1|1,2,4,6,2,1,needs-next
12,7|6|3|3|3|1|1,2,15,16,1,1,within-J*
12,7|6|2|2|1|1|1|1|1|1|1,2,17,18,1,1,within-J*
12,7|5|5|5|2,2,8,10,2,6,needs-next
12,7|5|5|4|3,2,15,16,1,1,within-J*
12,7|5|5|4|1|1|1,2,15,16,1,1,within-J*
12,7|5|5|3|3|1,4,12,16,4,2,needs-next
12,7|5|5|3|2|1|1,4,12,16,4,7,needs-next
12,7|5|5|3|1|1|1|1,4,12,16,4,6,needs-next
12,7|5|5|2|2|2|1,2,15,16,1,1,within-J*
12,7|5|5|2|2|1|1|1,4,18,25,7,3,needs-next
12,7|5|5|2|1|1|1|1|1,2,17,18,1,1,within-J*
12,7|5|4|4|2|2,2,6,8,2,1,needs-next
12,7|5|4|3|3|1|1,4,12,16,4,2,needs-next
12,7|5|4|3|2|1|1|1,2,19,20,1,1,within-J*
12,7|5|4|2|2|2|1|1,2,10,12,2,2,within-J*
12,7|5|4|2|2|1|1|1|1,2,12,14,2,4,needs-next
12,7|5|3|3|3|2|1,2,15,16,1,1,within-J*
12,7|5|3|3|3|1|1|1,4,12,16,4,2,needs-next
12,7|5|3|3|2|2|2,2,10,12,2,4,needs-next
12,7|5|3|3|1|1|1|1|1|1,2,6,8,2,2,within-J*
12,7|5|3|2|1|1|1|1|1|1|1,2,17,18,1,1,within-J*
12,7|5|2|2|2|2|2|2,4,14,18,4,2,needs-next
12,7|5|2|2|2|1|1|1|1|1|1,4,12,16,4,2,needs-next
12,7|5|2|2|1|1|1|1|1|1|1|1,4,12,16,4,2,needs-next
12,7|4|4|4|3|1|1,2,15,16,1,1,within-J*
12,7|4|4|4|2|1|1|1,2,8,10,2,6,needs-next
12,7|4|4|3|3|3,2,10,12,2,2,within-J*
12,7|4|4|3|3|2|1,2,15,16,1,1,within-J*
12,7|4|4|3|3|1|1|1,4,18,25,7,3,needs-next
12,7|4|4|3|2|2|1|1,2,10,12,2,2,within-J*
12,7|4|4|3|2|1|1|1|1,2,8,10,2,4,needs-next
12,7|4|4|2|2|2|2|1,2,10,12,2,2,within-J*
12,7|4|4|2|2|2|1|1|1,2,23,29,6,4,needs-next
12,7|4|4|2|2|1|1|1|1|1,2,6,8,2,4,needs-next
12,7|4|4|2|1|1|1|1|1|1|1,2,17,18,1,1,within-J*
12,7|4|4|1|1|1|1|1|1|1|1|1,2,8,10,2,4,needs-next
12,7|4|3|3|3|3|1,2,17,18,1,1,within-J*
12,7|4|3|3|3|2|2,2,15,16,1,1,within-J*
12,7|4|3|3|3|2|1|1,2,15,16,1,1,within-J*
12,7|4|3|3|3|1|1|1|1,2,15,16,1,1,within-J*
12,7|4|3|3|1|1|1|1|1|1|1,2,15,16,1,1,within-J*
12,7|4|3|2|2|2|2|2,2,15,16,1,1,within-J*
12,7|4|3|2|2|1|1|1|1|1|1,2,15,16,1,1,within-J*
12,7|4|3|2|1|1|1|1|1|1|1|1,2,15,16,1,1,within-J*
12,7|4|2|2|2|2|2|2|1,2,15,16,1,1,within-J*
12,7|4|2|2|2|2|1|1|1|1|1,2,15,16,1,1,within-J*
12,7|4|2|2|2|1|1|1|1|1|1|1,4,18,25,7,3,needs-next
12,7|4|2|2|1|1|1|1|1|1|1|1|1,2,15,16,1,1,within-J*
12,7|4|1|1|1|1|1|1|1|1|1|1|1|1|1,2,15,16,1,1,within-J*
12,7|3|3|3|3|3|1|1,2,10,12,2,2,within-J*
12,7|3|3|3|2|2|2|1|1,2,6,8,2,1,needs-next
12,7|3|3|3|2|2|1|1|1|1,2,4,6,2,1,needs-next
12,7|3|3|2|2|2|2|1|1|1,2,4,6,2,1,needs-next
12,7|3|3|2|2|1|1|1|1|1|1|1,2,12,14,2,4,needs-next
12,7|3|3|1|1|1|1|1|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,7|3|2|2|2|2|2|2|2,2,10,12,2,2,within-J*
12,7|3|2|2|2|2|1|1|1|1|1|1,2,10,12,2,2,within-J*
12,7|3|2|2|2|1|1|1|1|1|1|1|1,2,10,12,2,2,within-J*
12,7|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1,2,10,12,2,2,within-J*
12,7|2|2|2|2|2|2|2|1|1|1,2,15,16,1,1,within-J*
12,7|2|2|2|1|1|1|1|1|1|1|1|1|1|1,2,15,16,1,1,within-J*
12,6|6|6|5|1,2,6,8,2,1,needs-next
12,6|6|6|4|2,2,6,8,2,1,needs-next
12,6|6|6|4|1|1,4,12,23,11,2,needs-next
12,6|6|6|3|1|1|1,2,10,12,2,4,needs-next
12,6|6|6|2|2|2,2,8,10,2,1,needs-next
12,6|6|6|1|1|1|1|1|1,2,10,12,2,1,needs-next
12,6|6|5|5|2,4,12,21,9,2,needs-next
12,6|6|5|5|1|1,2,6,8,2,1,needs-next
12,6|6|5|4|2|1,2,6,8,2,1,needs-next
12,6|6|5|3|2|2,2,8,10,2,1,needs-next
12,6|6|5|2|2|1|1|1,2,10,12,2,2,within-J*
12,6|6|5|1|1|1|1|1|1|1,2,10,12,2,1,needs-next
12,6|6|4|4|4,2,6,8,2,1,needs-next
12,6|6|4|4|3|1,2,6,8,2,1,needs-next
12,6|6|4|4|2|2,4,20,42,22,14,needs-next
12,6|6|4|4|2|1|1,2,6,8,2,1,needs-next
12,6|6|4|4|1|1|1|1,2,6,8,2,1,needs-next
12,6|6|4|3|3|2,2,8,10,2,1,needs-next
12,6|6|4|3|2|2|1,2,8,10,2,1,needs-next
12,6|6|4|3|1|1|1|1|1,2,6,8,2,1,needs-next
12,6|6|4|2|2|2|2,2,8,10,2,1,needs-next
12,6|6|4|2|2|2|1|1,4,14,23,9,3,needs-next
12,6|6|4|2|2|1|1|1|1,4,12,19,7,2,needs-next
12,6|6|4|2|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,6|6|4|1|1|1|1|1|1|1|1,2,4,6,2,1,needs-next
12,6|6|3|3|3|3,2,8,10,2,1,needs-next
12,6|6|3|3|2|2|2,4,14,25,11,3,needs-next
12,6|6|3|3|2|2|1|1,2,8,10,2,1,needs-next
12,6|6|3|3|2|1|1|1|1,2,6,8,2,1,needs-next
12,6|6|3|3|1|1|1|1|1|1,4,12,19,7,2,needs-next
12,6|6|3|2|2|2|2|1,2,8,10,2,1,needs-next
12,6|6|3|2|2|2|1|1|1,4,21,25,4,3,needs-next
12,6|6|3|2|2|1|1|1|1|1,2,6,8,2,1,needs-next
12,6|6|3|1|1|1|1|1|1|1|1|1,2,4,6,2,1,needs-next
12,6|6|2|2|2|2|2|1|1,2,8,10,2,1,needs-next
12,6|6|2|2|2|2|1|1|1|1,2,8,10,2,1,needs-next
12,6|6|2|1|1|1|1|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,6|6|1|1|1|1|1|1|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,6|5|5|5|3,2,8,10,2,8,needs-next
12,6|5|5|4|2|2,2,6,8,2,1,needs-next
12,6|5|5|3|3|1|1,4,12,16,4,4,within-J*
12,6|5|5|3|2|1|1|1,2,21,22,1,1,within-J*
12,6|5|5|2|2|2|1|1,2,10,12,2,2,within-J*
12,6|5|5|2|2|1|1|1|1,2,12,14,2,6,needs-next
12,6|5|4|4|3|2,2,6,8,2,1,needs-next
12,6|5|4|4|2|2|1,2,6,8,2,1,needs-next
12,6|5|4|4|1|1|1|1|1,2,8,10,2,1,needs-next
12,6|5|4|3|3|1|1|1,2,19,20,1,1,within-J*
12,6|5|4|2|2|2|1|1|1,4,12,19,7,2,needs-next
12,6|5|3|3|3|2|2,2,10,12,2,4,needs-next
12,6|5|3|3|2|2|1|1|1,2,6,8,2,1,needs-next
12,6|5|3|3|1|1|1|1|1|1|1,2,6,8,2,2,within-J*
12,6|5|3|2|2|2|2|1|1,2,10,12,2,1,needs-next
12,6|5|3|2|2|2|1|1|1|1,2,6,8,2,1,needs-next
12,6|5|3|1|1|1|1|1|1|1|1|1|1,2,4,6,2,1,needs-next
12,6|5|2|2|2|1|1|1|1|1|1|1,2,21,22,1,1,within-J*
12,6|4|4|4|4|2,2,6,8,2,1,needs-next
12,6|4|4|4|3|3,4,12,23,11,4,needs-next
12,6|4|4|4|3|1|1|1,2,8,10,2,14,needs-next
12,6|4|4|4|2|2|2,2,6,8,2,1,needs-next
12,6|4|4|4|2|2|1|1,4,12,21,9,2,needs-next
12,6|4|4|4|2|1|1|1|1,4,14,21,7,3,needs-next
12,6|4|4|4|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,6|4|4|3|3|3|1,2,10,12,2,2,within-J*
12,6|4|4|3|3|2|1|1,2,10,12,2,2,within-J*
12,6|4|4|3|3|1|1|1|1,2,8,10,2,4,needs-next
12,6|4|4|3|2|2|1|1|1,4,12,23,11,2,needs-next
12,6|4|4|2|2|2|2|2,2,10,12,2,2,within-J*
12,6|4|4|2|2|2|2|1|1,4,12,19,7,2,needs-next
12,6|4|4|2|2|2|1|1|1|1,4,12,21,9,2,needs-next
12,6|4|4|2|2|1|1|1|1|1|1,2,6,8,2,4,needs-next
12,6|4|4|2|1|1|1|1|1|1|1|1,2,8,10,2,4,needs-next
12,6|4|4|1|1|1|1|1|1|1|1|1|1,4,12,24,12,2,needs-next
12,6|4|3|3|3|3|1|1,2,10,12,2,2,within-J*
12,6|4|3|3|2|2|2|1|1,2,6,8,2,1,needs-next
12,6|4|3|3|2|2|1|1|1|1,2,10,12,2,1,needs-next
12,6|4|3|2|2|2|2|1|1|1,2,6,8,2,1,needs-next
12,6|4|3|2|2|1|1|1|1|1|1|1,2,12,14,2,4,needs-next
12,6|4|3|1|1|1|1|1|1|1|1|1|1|1,2,4,6,2,1,needs-next
12,6|4|2|2|2|2|2|2|2,2,10,12,2,2,within-J*
12,6|4|2|2|2|2|1|1|1|1|1|1,2,10,12,2,2,within-J*
12,6|4|2|2|2|1|1|1|1|1|1|1|1,2,10,12,2,2,within-J*
12,6|4|1|1|1|1|1|1|1|1|1|1|1|1|1|1,2,10,12,2,2,within-J*
12,6|3|3|3|3|3|3,2,8,10,2,1,needs-next
12,6|3|3|3|3|3|1|1|1,4,12,21,9,4,needs-next
12,6|3|3|3|3|2|2|1|1,2,6,8,2,1,needs-next
12,6|3|3|3|3|2|1|1|1|1,2,6,8,2,1,needs-next
12,6|3|3|3|2|2|2|2|1,2,6,8,2,1,needs-next
12,6|3|3|3|2|2|2|1|1|1,4,25,29,4,5,needs-next
12,6|3|3|3|2|2|1|1|1|1|1,2,4,6,2,1,needs-next
12,6|3|3|3|1|1|1|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,6|3|3|2|2|2|2|2|2,4,12,19,7,2,needs-next
12,6|3|3|2|2|2|2|2|1|1,2,6,8,2,1,needs-next
12,6|3|3|2|2|2|2|1|1|1|1,2,4,6,2,1,needs-next
12,6|3|3|2|2|2|1|1|1|1|1|1,4,12,23,11,6,needs-next
12,6|3|3|2|2|1|1|1|1|1|1|1|1,4,12,21,9,4,needs-next
12,6|3|3|2|1|1|1|1|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,6|3|3|1|1|1|1|1|1|1|1|1|1|1|1,2,4,6,2,1,needs-next
12,6|3|2|2|2|2|1|1|1|1|1|1|1,4,14,21,7,2,needs-next
12,6|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,4,12,19,7,2,needs-next
12,6|2|2|2|2|2|2|2|2|2,2,6,8,2,1,needs-next
12,6|2|2|2|2|2|2|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,6|2|2|2|2|2|1|1|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,6|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1,2,4,6,2,1,needs-next
12,6|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,2,4,6,2,1,needs-next
12,5|5|5|5|2|2,2,6,8,2,1,needs-next
12,5|5|5|4|4|1,2,8,10,2,2,within-J*
12,5|5|5|4|3|1|1,2,15,16,1,1,within-J*
12,5|5|5|3|3|2|1,2,15,16,1,1,within-J*
12,5|5|5|3|3|1|1|1,4,12,16,4,4,within-J*
12,5|5|5|3|2|2|2,2,10,12,2,8,needs-next
12,5|5|5|3|1|1|1|1|1|1,2,12,14,2,2,within-J*
12,5|5|5|2|1|1|1|1|1|1|1,2,17,18,1,1,within-J*
12,5|5|4|4|4|2,4,12,21,9,4,needs-next
12,5|5|4|4|4|1|1,2,8,10,2,2,within-J*
12,5|5|4|4|3|3,2,6,8,2,1,needs-next
12,5|5|4|4|2|2|2,4,12,24,12,2,needs-next
12,5|5|4|4|2|2|1|1,2,6,8,2,1,needs-next
12,5|5|4|4|2|1|1|1|1,2,8,10,2,1,needs-next
12,5|5|4|4|1|1|1|1|1|1,4,14,21,7,3,needs-next
12,5|5|4|3|3|2|2,2,10,12,2,4,needs-next
12,5|5|4|3|2|2|1|1|1,2,6,8,2,1,needs-next
12,5|5|4|3|1|1|1|1|1|1|1,2,12,14,2,2,within-J*
12,5|5|4|2|2|2|2|1|1,2,10,12,2,1,needs-next
12,5|5|4|2|2|2|1|1|1|1,2,6,8,2,1,needs-next
12,5|5|4|1|1|1|1|1|1|1|1|1|1,2,4,6,2,1,needs-next
12,5|5|3|3|3|3|2,2,10,12,2,4,needs-next
12,5|5|3|3|3|2|2|1,2,10,12,2,4,needs-next
12,5|5|3|3|3|1|1|1|1|1,2,8,10,2,2,within-J*
12,5|5|3|3|2|2|2|2,2,10,12,2,8,needs-next
12,5|5|3|3|2|2|2|1|1,4,12,24,12,2,needs-next
12,5|5|3|3|2|2|1|1|1|1,4,12,19,7,2,needs-next
12,5|5|3|3|2|1|1|1|1|1|1,2,8,10,2,2,within-J*
12,5|5|3|3|1|1|1|1|1|1|1|1,2,6,8,2,2,within-J*
12,5|5|3|2|2|2|2|1|1|1,4,12,21,9,2,needs-next
12,5|5|3|1|1|1|1|1|1|1|1|1|1|1,4,12,21,9,2,needs-next
12,5|5|2|2|2|2|2|2|1|1,2,10,12,2,4,needs-next
12,5|5|2|2|2|2|2|1|1|1|1,2,10,12,2,6,needs-next
12,5|5|2|2|1|1|1|1|1|1|1|1|1|1,2,10,12,2,4,needs-next
12,5|5|2|1|1|1|1|1|1|1|1|1|1|1|1,2,10,12,2,8,needs-next
12,5|4|4|4|4|3,2,6,8,2,1,needs-next
12,5|4|4|4|2|2|2|1,2,6,8,2,1,needs-next
12,5|4|4|4|2|2|1|1|1,4,21,25,4,2,needs-next
12,5|4|4|4|2|1|1|1|1|1,2,8,10,2,1,needs-next
12,5|4|4|3|3|3|1|1,2,10,12,2,2,within-J*
12,5|4|4|3|2|2|2|1|1,2,6,8,2,1,needs-next
12,5|4|4|3|2|2|1|1|1|1,2,10,12,2,1,needs-next
12,5|4|4|2|2|2|2|1|1|1,2,6,8,2,1,needs-next
12,5|4|4|2|2|1|1|1|1|1|1|1,2,6,8,2,4,needs-next
12,5|4|4|1|1|1|1|1|1|1|1|1|1|1,2,4,6,2,1,needs-next
12,5|4|3|3|3|2|2|2,2,15,16,1,1,within-J*
12,5|4|3|3|3|1|1|1|1|1|1,2,15,16,1,1,within-J*
12,5|4|3|3|2|2|2|1|1|1,4,12,19,7,2,needs-next
12,5|4|2|2|2|2|2|2|1|1|1,2,15,16,1,1,within-J*
12,5|4|2|2|1|1|1|1|1|1|1|1|1|1|1,2,15,16,1,1,within-J*
12,5|3|3|3|3|3|3|1,2,8,10,2,1,needs-next
12,5|3|3|3|3|3|2|1|1,2,6,8,2,1,needs-next
12,5|3|3|3|3|3|1|1|1|1,2,6,8,2,1,needs-next
12,5|3|3|3|3|2|2|1|1|1,4,12,24,12,4,needs-next
12,5|3|3|3|2|2|2|2|2,2,6,8,2,1,needs-next
12,5|3|3|3|2|2|2|2|1|1,4,12,19,7,2,needs-next
12,5|3|3|3|2|2|2|1|1|1|1,4,12,21,9,5,needs-next
12,5|3|3|3|2|2|1|1|1|1|1|1,2,4,6,2,1,needs-next
